name,price,rating,address,img-src
La Quinta Inn & Suites by Wyndham LAX,138,7.7,"5249 W Century Boulevard, LAX ? Los Angeles International Airport, Los Angeles (CA), United States, 90045",//pix8.agoda.net/hotelImages/907/907334/907334_17041121310052323754.jpg?ca=6&ce=1&s=1024x768
Embassy Suites Los Angeles International Airport South Hotel,167,7.9,"1440 E. Imperial Avenue, LAX ? Los Angeles International Airport, Los Angeles (CA), United States, 90245",//pix8.agoda.net/hotelImages/5083474/0/ae29f91d4ec5b4c0c6a69a1a427a765f.jpg?ca=23&ce=0&s=1024x768
"Hotel Figueroa, an Unbound Collection by Hyatt",279,8.8,"939 South Figueroa Street, Downtown Los Angeles, Los Angeles (CA), United States, 90015",//pix8.agoda.net/hotelImages/850319/-1/00a290697e330a442c2213222d9b952e.jpg?ca=0&ce=1&s=1024x768
Kimpton Hotel Wilshire,339,8.1,"6317 Wilshire Boulevard, West Hollywood, Los Angeles (CA), United States, 90048",//pix8.agoda.net/hotelImages/4877515/0/0c168de266a57cf1dc1e7daafe2cb992.jpg?ca=23&ce=0&s=1024x768
The Moment Hotel,282,7.5,"7370 Sunset Boulevard, Hollywood, Los Angeles (CA), United States, 90046",//pix8.agoda.net/hotelImages/485/485351/485351_16061502400043570424.jpg?ca=6&ce=1&s=1024x768
Omni Los Angeles at California Plaza,263,8.6,"251 South Olive Street, Downtown Los Angeles, Los Angeles (CA), United States, 90012",//pix8.agoda.net/hotelImages/5513961/0/3baaf85c5feba5ecdaf6d2c046167670.jpg?ca=22&ce=0&s=1024x768
The Hoxton Downtown LA,235,9.2,"1060 South Broadway, Downtown Los Angeles, Los Angeles (CA), United States, 90015",//pix8.agoda.net/hotelImages/20840123/-1/2f632c45df69d30e2b1ccd8a67aa7481.jpg?ca=16&ce=1&s=1024x768
Hilton Checkers Los Angeles Hotel,271,7.8,"535 South Grand Avenue, Downtown Los Angeles, Los Angeles (CA), United States, 90071",//pix8.agoda.net/hotelImages/46438/0/d6310772ee50130ba243cfc4d106eda6.jpg?ca=7&ce=1&s=1024x768
Hilton Los Angeles Airport,181,7.8,"5711 West Century Boulevard, LAX ? Los Angeles International Airport, Los Angeles (CA), United States, 90045",//pix8.agoda.net/hotelImages/2291036/0/6f3ad34df43a4ada14a972ef9e037c3a.jpg?ca=22&ce=0&s=1024x768
Courtyard Los Angeles L.A. LIVE,349,8.8,"901 West Olympic Boulevard, Downtown Los Angeles, Los Angeles (CA), United States, 90015",//pix8.agoda.net/hotelImages/5149176/0/54fc1d37093b03ba19dea8ccc4629903.jpg?ca=27&ce=0&s=1024x768
Embassy Suites by Hilton Anaheim Orange,197,8.5,"400 N. State College Boulevard, Anaheim, Los Angeles (CA), United States, 92868",//pix8.agoda.net/hotelImages/2652025/0/0527e0e384442876870785615bbfedc4.jpg?ca=7&ce=1&s=1024x768
