name,price,rating,address,img-src
Best Western University Inn Santa Clara,169,8.4,"1655 El Camino Real, Santa Clara, San Jose (CA), United States, 95050-4158",//pix8.agoda.net/hotelImages/2294869/0/0e4a0ee2e4143ff8f6065d110707d7ea.jpg?ca=9&ce=1&s=1024x768
Aloft Santa Clara,168,8.7,"510 America Center Court, Santa Clara, San Jose (CA), United States, 95002",//pix8.agoda.net/hotelImages/6501299/0/f26b0997b1c72daf78662dd32dd208c9.jpg?ca=23&ce=0&s=1024x768
Four Points by Sheraton San Jose Airport,151,9,"1471 NORTH 4TH STREET, San Jose City Center, San Jose (CA), United States, 95112",//pix8.agoda.net/hotelImages/4881427/0/4fd4f9d4c8baaaa23256679e96717a1a.jpg?ca=23&ce=0&s=1024x768
Silicon Way Inn,69,7.8,"331 East Weddell Drive, Sunnyvale, San Jose (CA), United States, CA 94089",//q-xx.bstatic.com/xdata/images/hotel/840x460/269843483.jpg?k=920c3e9c38bb21e697456b3aca43d30ebd0c46c9a5211a97a75e1d2a7913394b&o=
Residence Inn Sunnyvale Silicon Valley II,333,8.6,"1080 Stewart Drive, Sunnyvale, San Jose (CA), United States, 94086",//pix8.agoda.net/hotelImages/933/93366/93366_13061710550013273347.jpg?ca=0&ce=1&s=1024x768
"Hilton Garden Inn Sunnyvale, CA",249,9.2,"767 N. Mathilda, Sunnyvale, San Jose (CA), United States, 94085",//pix8.agoda.net/hotelImages/9456272/0/54f55ef604c7b2d3a831344baa1dd7d7.jpg?ca=9&ce=1&s=1024x768
Comfort Inn Sunnyvale - Silicon Valley,98,7.5,"940 West Weddell Drive, Sunnyvale, San Jose (CA), United States, 94089",//pix8.agoda.net/hotelImages/64493/0/3a8c87a1430d510d7fe8f929ea15c0e4.jpg?ca=0&ce=1&s=1024x768
el PRADO,549,9.6,"520 Cowper Street, Palo Alto, San Jose (CA), United States, 94301",//pix8.agoda.net/hotelImages/972/97279/97279_0809130001007866.jpg?ca=0&ce=1&s=1024x768
Hotel Fairchild,202,8,"5 Fairchild Drive , Mountain View, San Jose (CA), United States, 94043-2013",//pix8.agoda.net/hotelImages/10557853/0/946aaac3e186af691432d58d015a6e7e.jpg?ca=23&ce=0&s=1024x768
The Westin San Jose,229,8.2,"302 South Market Street, San Jose City Center, San Jose (CA), United States, 95113",//pix8.agoda.net/hotelImages/4871310/0/5bcae581e153ca46914a602ce957851b.jpg?ca=23&ce=0&s=1024x768
AC Hotel Sunnyvale Cupertino,229,8.7,"597 East El Camino Real, Sunnyvale, San Jose (CA), United States, 94087",//pix8.agoda.net/hotelImages/5502957/0/ee3d9204072c847b6df7aec3b0111688.jpg?ca=23&ce=0&s=1024x768
Creekside Inn,425,9,"3400 El Camino Real, Palo Alto, San Jose (CA), United States, 94306",//pix8.agoda.net/hotelImages/147/147556/147556_0906101135001556163.jpg?ca=0&ce=1&s=1024x768
Holiday Inn Express And Suites San Jose Airport,148,9.8,"2080 N 1st Street, San Jose City Center, San Jose (CA), United States, 95131",//pix8.agoda.net/hotelImages/6235956/-1/33e9b0662c1efd30a7a551c6f06bbab7.jpg?ca=7&ce=1&s=1024x768
Cupertino Hotel,214,8.8,"10889 North De Anza Boulevard, Cupertino, San Jose (CA), United States, 95014",//pix8.agoda.net/hotelImages/17247462/0/bf8b9f4e5e23be2ca79f81eea48bc169.jpg?ca=22&ce=0&s=1024x768
Holiday Inn Express Mountain View South Palo Alto,241,9.4,"1561 West El Camino Real, Mountain View, San Jose (CA), United States, 94040",//pix8.agoda.net/hotelImages/7541441/0/1182953c25c5fd2d5a4ad14e334af016.jpg?ca=23&ce=0&s=1024x768
Holiday Inn Express Hotel & Suites Santa Clara - Silicon Valley,182,8.6,"2455 El Camino Real, Santa Clara, San Jose (CA), United States, 95051",//pix8.agoda.net/hotelImages/5673090/0/2c7c2e6bdc133eb0c6927afd1b2ec21b.jpg?ca=25&ce=0&s=1024x768
Hilton Garden Inn Cupertino Hotel,353,8.8,"10741 North Wolfe Road, Cupertino, San Jose (CA), United States, 95014",//pix8.agoda.net/hotelImages/80314/0/fa760ffafa50e2c347a797713bc4e921.jpg?ca=7&ce=1&s=1024x768
Sonesta ES Suites San Jose - Airport,237,8.9,"1602 Crane Court, San Jose City Center, San Jose (CA), United States, 95112",//pix8.agoda.net/hotelImages/20083933/0/1e90c9460057fcd10e407e047a60b2be.jpg?ca=16&ce=1&s=1024x768
Embassy Suites Santa Clara Silicon Valley Hotel,256,8.5,"2885 Lakeside Drive, Santa Clara, San Jose (CA), United States, 95054",//pix8.agoda.net/hotelImages/6021223/0/40efc7bec7dcbdbee49f508a7e4f0a1f.jpg?ca=9&ce=1&s=1024x768
Delta Hotels by Marriott Santa Clara Silicon Valley,206,7,"2151 Laurelwood Road, Santa Clara, San Jose (CA), United States, 95054",//pix8.agoda.net/hotelImages/21981136/0/10fe37a309d71ea792faa47ec42d4f08.jpg?ca=23&ce=0&s=1024x768
Sonesta Select San Jose Airport,145,8.7,"1727 Technology Drive, San Jose City Center, San Jose (CA), United States, 95110",//pix8.agoda.net/hotelImages/22438321/0/abb7f84a57521805923ac57774d04dcb.jpg?ca=20&ce=0&s=1024x768
Hotel Lucent,382,8.7,"727 El Camino Real, Menlo Park, San Jose (CA), United States, 94025",//pix8.agoda.net/hotelImages/2462553/-1/0e9b1fc84a4dceffc97cfa4334c7ecbf.jpg?ca=7&ce=1&s=1024x768
Pacific Motor Inn,77,7.8,"455 S Second Street, San Jose City Center, San Jose (CA), United States, 95113",//pix8.agoda.net/hotelImages/5673681/0/cd41f5b60597f6e1ef2aaa6e877db252.jpg?ca=9&ce=1&s=1024x768
Hyatt Place San Jose Airport,367,8.9,"82 Karina Court, San Jose City Center, San Jose (CA), United States, 95131",//pix8.agoda.net/hotelImages/6770851/0/e38f9dc48630df036b223efd9466ab28.jpg?ca=17&ce=1&s=1024x768
Sonesta Silicon Valley - San Jose,115,8.6,"1820 Barber Lane, Milpitas, Milpitas (CA), United States, 95035",//pix8.agoda.net/hotelImages/12461887/0/d81b4fdcdb631f4d86b5d558ca61b888.jpg?ca=10&ce=1&s=1024x768
DoubleTree by Hilton Campbell - Pruneyard Plaza,330,8.3,"1995 South Bascom Avenue, San Jose City Center, San Jose (CA), United States, 95008",//pix8.agoda.net/hotelImages/4868468/0/8ce1aaee181b803ca580dfbe9a910499.jpg?ca=23&ce=0&s=1024x768
The Zen Hotel Palo Alto,219,8.9,"4164 El Camino Real, Palo Alto, San Jose (CA), United States, 94306",//pix8.agoda.net/hotelImages/2466665/-1/833f055c350fb4316f38354edc4cbca8.jpg?ca=20&ce=1&s=1024x768
Best Western Airport Plaza Hotel,157,8.5,"2118 The Alameda, San Jose City Center, San Jose (CA), United States, 95126-1140",//pix8.agoda.net/hotelImages/2308133/0/1b13b2600abc867278b4bbc1f79206d8.jpg?ca=9&ce=1&s=1024x768
Sheraton Palo Alto Hotel,494,8.5,"625 El Camino Real, Palo Alto, San Jose (CA), United States, 94301",//pix8.agoda.net/hotelImages/4876477/0/cc318e25294fc18bcf9731ac6956705a.jpg?ca=23&ce=0&s=1024x768
Four Points by Sheraton San Jose Downtown,209,8.1,"211 S. First Street, San Jose City Center, San Jose (CA), United States, 95113",//pix8.agoda.net/hotelImages/92256/0/4823b59632cb80e3af5c3f23400a4b25.jpg?ca=0&ce=1&s=1024x768
