name,price,rating,address,img-src
Inn Redwood City,127,7.7,"1818 El Camino Real, San Francisco International Airport, San Francisco (CA), United States, 94063-2111",//pix8.agoda.net/hotelImages/94976/0/028b38e80153eff46135c554892f4652.jpg?ca=0&ce=1&s=1024x768
Club Quarters Hotel in San Francisco,188,8.3,"424 Clay Street, San Francisco Downtown, San Francisco (CA), United States, 94111",//pix8.agoda.net/hotelImages/5674282/0/b50179110d477aa810e32edbdd56cdf0.jpg?ca=22&ce=0&s=1024x768
Hotel Zoe Fisherman's Wharf,281,8.6,"425 NORTH POINT STREET, Fisherman's Wharf, San Francisco (CA), United States, 94133",//pix8.agoda.net/hotelImages/4459424/0/be651bc3a73af74c86d397d01e652e35.jpg?ca=9&ce=1&s=1024x768
Hyatt House Emeryville San Francisco Bay Area,196,8.6,"5800 Shellmound Street, Oakland, San Francisco (CA), United States, 94608",//pix8.agoda.net/hotelImages/284888/0/ca50f6627734870bf4b83c1520699c4c.jpg?ca=7&ce=1&s=1024x768
Warwick San Francisco,193,8,"490 Geary Street, San Francisco Downtown, San Francisco (CA), United States, CA 94107",//q-xx.bstatic.com/xdata/images/hotel/840x460/34520856.jpg?k=4d353403617cb419edec0e24c479ab0370356b8fca5166b9f009679fff69a7ac&o=
Hyatt Regency San Francisco,199,8.6,"5 Embarcadero Center, San Francisco Downtown, San Francisco (CA), United States, 94111",//pix8.agoda.net/hotelImages/2081620/0/957014f81536193df123a15b3ae7be15.jpg?ca=0&ce=1&s=1024x768
Hilton San Francisco Union Square Hotel,220,7.9,"333 O'Farrell Street, San Francisco Downtown, San Francisco (CA), United States, 94102",//pix8.agoda.net/hotelImages/70514/0/5f6b6b1298011d4f0b03310b68999725.jpg?ca=7&ce=1&s=1024x768
"Hotel Kabuki, part of JdV by Hyatt",379,8.5,"1625 POST STREET, Pacific Heights, San Francisco (CA), United States, 94115",//pix8.agoda.net/hotelImages/4873545/0/3c058e02ac02ed83b799937790f8081c.jpg?ca=8&ce=1&s=1024x768
RIU Plaza Fisherman's Wharf,309,8,"2500 Mason Street, Fisherman's Wharf, San Francisco (CA), United States, 94133",//pix8.agoda.net/hotelImages/10568633/-1/17c0528679587e5ffe124a35434f0fc2.jpg?ca=10&ce=1&s=1024x768
Yotel San Francisco,176,8.3,"1095 Market St, South of Market, San Francisco (CA), United States, 94103",//pix8.agoda.net/hotelImages/15963192/0/15c8b2bc61776c1b212f0345c239446f.jpg?ca=12&ce=1&s=1024x768
"Infinity Hotel SF, Ascend Hotel Collection",200,7,"2322 Lombard Street, Marina District, San Francisco (CA), United States, 94123",//pix8.agoda.net/hotelImages/147678/-1/d0fd7b2f3dd67cf54c7670e99e63dbd2.jpg?ca=23&ce=0&s=1024x768
Holiday Inn Express Hotel & Suites Fisherman's Wharf,265,8.4,"550 North Point Street, Fisherman's Wharf, San Francisco (CA), United States, 94133",//pix8.agoda.net/hotelImages/5150005/0/f00c7bb282e3fcd3512ddff73ad0a53f.jpg?ca=23&ce=0&s=1024x768
"Hotel Bijou, WorldHotels Crafted",199,7.5,"111 Mason Street, San Francisco Downtown, San Francisco (CA), United States, 94102",//pix8.agoda.net/hotelImages/267302/-1/fa33915fa8d611851c16cd597cd43489.jpg?ca=7&ce=1&s=1024x768
Hilton San Francisco Financial District,185,7.6,"750 Kearny Street, San Francisco Downtown, San Francisco (CA), United States, 94108",//pix8.agoda.net/hotelImages/564/5641/5641_16062302430043992737.jpg?ca=6&ce=1&s=1024x768
San Francisco Marriott Fisherman's Wharf,296,8.4,"1250 Columbus Avenue, Fisherman's Wharf, San Francisco (CA), United States, 94133",//pix8.agoda.net/hotelImages/5079895/0/3c64dbb61588dc9763ccf116b80a4988.jpg?ca=23&ce=0&s=1024x768
The Westin San Francisco Airport,150,8.4,"1 Old Bayshore Highway, San Francisco International Airport, San Francisco (CA), United States, 94030",//pix8.agoda.net/hotelImages/5501767/0/13168c0ad47442d99ed40b7f1c0c2eb5.jpg?ca=23&ce=0&s=1024x768
"Marriott Vacation Club Pulse, San Francisco",229,8.7,"2620 Jones Street, Fisherman's Wharf, San Francisco (CA), United States, 94133",//pix8.agoda.net/hotelImages/6539798/0/4e8cc9045f7bfba5d58895e4ac8752f3.jpg?ca=23&ce=0&s=1024x768
Comfort Inn By The Bay,215,8,"2775 Van Ness Avenue, Marina District, San Francisco (CA), United States, 94109",//pix8.agoda.net/hotelImages/44159/0/649462add091cd2d3ac38c5df2c4974d.jpg?ca=0&ce=1&s=1024x768
Crowne Plaza Hotel Foster City-San Mateo,151,7.9,"1221 Chess Drive, San Francisco International Airport, San Francisco (CA), United States, 94404",//pix8.agoda.net/hotelImages/5442570/0/7a65e11c0271418016f9e138d1807409.jpg?ca=21&ce=0&s=1024x768
Stanford Court San Francisco,239,8.4,"905 California Street, San Francisco Downtown, San Francisco (CA), United States, 94108",//pix8.agoda.net/hotelImages/8787324/0/98151044cdcfb50017e169657394e7d2.jpg?ca=9&ce=1&s=1024x768
Hyatt Place San Francisco Downtown,293,8.3,"701 3rd St, South of Market, San Francisco (CA), United States, 94107",//q-xx.bstatic.com/xdata/images/hotel/840x460/194581161.jpg?k=45099c4164e23d7a4a3393b1f5c6516b865882dad3fe1b288f85b66a04b946ec&o=
SpringHill Suites Belmont Redwood Shores,149,9,"1401 Shoreway Road, San Francisco International Airport, San Francisco (CA), United States, 94002",//pix8.agoda.net/hotelImages/4868145/0/320f03968b47f3336657bae36f2c60e9.jpg?ca=23&ce=0&s=1024x768
San Francisco Marriott Marquis,339,8.7,"780 Mission Street, South of Market, San Francisco (CA), United States, 94103",//pix8.agoda.net/hotelImages/4863984/0/35f73d627f30246737152f899d3b1909.jpg?ca=26&ce=0&s=1024x768
The Clift Royal Sonesta Hotel,195,8.3,"495 Geary Street, San Francisco Downtown, San Francisco (CA), United States, 94102",//pix8.agoda.net/hotelImages/1846/-1/7120a4d76b23b8eb07fdadb6df38aab2.jpg?ca=10&ce=1&s=1024x768
Four Seasons Hotel San Francisco,493,9.6,"757 Market Street, South of Market, San Francisco (CA), United States, 94103",//pix8.agoda.net/hotelImages/6797081/0/7aa4f657b4a0f28b1a5e6456469d7795.jpg?ca=22&ce=0&s=1024x768
Holiday Inn Express Redwood City Central,123,8.9,"1836 El Camino Real, San Francisco International Airport, San Francisco (CA), United States, 94063",//pix8.agoda.net/hotelImages/7453108/0/b60d13fb3ba0289598693b9213a34559.jpg?ca=26&ce=0&s=1024x768
Grand Hyatt San Francisco,199,8.5,"345 Stockton Street, San Francisco Downtown, San Francisco (CA), United States, 94108",//pix8.agoda.net/hotelImages/2287807/0/d354861a86316b2d5cddbe200eae78ca.jpg?ca=9&ce=1&s=1024x768
Four Seasons Hotel San Francisco at Embarcadero,531,9.1,"222 Sansome Street, San Francisco Downtown, San Francisco (CA), United States, 94104",//pix8.agoda.net/hotelImages/195/195023/195023_1112131032005027656.jpg?ca=0&ce=1&s=1024x768
